,index,Число участников,Выданные бюллетени,Бюллетени в урнах,Недействительные бюллетени,Голосов за,Голосов против,ТИК,УИК,Явка%,за%,против%
0,УИК №345,1860,651,651,6,419,226,Владимир_ленинская,345,35.0,64.36251920122888,34.715821812596005
1,УИК №346,1840,703,703,10,454,239,Владимир_ленинская,346,38.20652173913043,64.58036984352773,33.997155049786635
2,УИК №347,1889,844,843,3,529,311,Владимир_ленинская,347,44.62678665960826,62.7520759193357,36.8920521945433
3,УИК №348,1732,678,678,5,421,252,Владимир_ленинская,348,39.14549653579677,62.09439528023599,37.16814159292036
4,УИК №349,2061,1020,1020,9,556,455,Владимир_ленинская,349,49.49053857350801,54.509803921568626,44.6078431372549
5,УИК №350,1869,1593,1593,10,1060,523,Владимир_ленинская,350,85.23274478330659,66.54111738857502,32.83113622096673
6,УИК №351,1488,1430,1430,14,1061,355,Владимир_ленинская,351,96.10215053763442,74.1958041958042,24.825174825174827
7,УИК №352,2349,834,834,4,525,305,Владимир_ленинская,352,35.50446998722861,62.94964028776978,36.57074340527578
8,УИК №353,2804,2689,2689,22,2201,466,Владимир_ленинская,353,95.89871611982882,81.85198958720714,17.329862402380066
9,УИК №354,2299,765,765,5,576,184,Владимир_ленинская,354,33.2753371030883,75.29411764705883,24.052287581699346
10,УИК №355,1814,1419,1419,69,1135,215,Владимир_ленинская,355,78.22491730981257,79.98590556730092,15.151515151515152
11,УИК №356,1280,550,550,5,314,231,Владимир_ленинская,356,42.96875,57.09090909090909,42.0
12,УИК №357,1324,536,536,6,318,212,Владимир_ленинская,357,40.483383685800604,59.32835820895522,39.55223880597015
13,УИК №358,1177,970,970,1,792,177,Владимир_ленинская,358,82.41291418861513,81.64948453608247,18.24742268041237
14,УИК №359,2280,1983,1973,12,1605,356,Владимир_ленинская,359,86.53508771929825,81.34820070957932,18.04358844399392
15,УИК №360,2961,1131,1130,2,636,492,Владимир_ленинская,360,38.162782843633906,56.28318584070796,43.53982300884956
16,УИК №361,2844,982,981,5,514,462,Владимир_ленинская,361,34.49367088607595,52.39551478083588,47.09480122324159
17,УИК №362,2347,1856,1856,33,1279,544,Владимир_ленинская,362,79.07967618236046,68.91163793103449,29.310344827586203
18,УИК №363,2263,1896,1896,1,1639,256,Владимир_ленинская,363,83.78258948298718,86.44514767932489,13.502109704641349
19,УИК №364,1696,1472,1472,12,1261,199,Владимир_ленинская,364,86.79245283018868,85.66576086956522,13.519021739130435
20,УИК №365,2723,1164,1162,10,703,449,Владимир_ленинская,365,42.673521850899746,60.49913941480206,38.64027538726334
21,УИК №366,2143,1696,1696,16,1364,316,Владимир_ленинская,366,79.14139057396173,80.4245283018868,18.632075471698112
22,УИК №367,2289,880,880,7,539,334,Владимир_ленинская,367,38.444735692442116,61.25000000000001,37.95454545454545
23,УИК №368,1399,591,591,1,367,223,Владимир_ленинская,368,42.24446032880629,62.098138747884946,37.7326565143824
24,УИК №369,2349,1982,1982,16,1600,366,Владимир_ленинская,369,84.37633035334184,80.72653884964683,18.46619576185671
25,УИК №370,2552,2053,2053,2,1675,376,Владимир_ленинская,370,80.44670846394985,81.5879201169021,18.314661471018024
26,УИК №371,1118,371,371,3,228,140,Владимир_ленинская,371,33.18425760286225,61.45552560646901,37.735849056603776
27,УИК №372,2387,872,872,3,591,278,Владимир_ленинская,372,36.53121072475911,67.77522935779817,31.880733944954127
28,УИК №373,566,150,150,1,91,58,Владимир_ленинская,373,26.501766784452297,60.66666666666667,38.666666666666664
29,УИК №374,1549,668,667,6,381,280,Владимир_ленинская,374,43.06003873466753,57.12143928035982,41.97901049475262
30,УИК №375,1564,1251,1250,9,982,259,Владимир_ленинская,375,79.923273657289,78.56,20.72
31,УИК №376,1403,1175,1175,5,987,183,Владимир_ленинская,376,83.74910905203136,84.0,15.574468085106382
32,УИК №377,2963,2458,2458,6,2102,350,Владимир_ленинская,377,82.95646304421194,85.51668022782751,14.239218877135883
33,УИК №378,2520,938,938,6,623,309,Владимир_ленинская,378,37.22222222222222,66.4179104477612,32.94243070362473
34,УИК №379,2163,1873,1873,5,1619,249,Владимир_ленинская,379,86.59269533055941,86.43886812600107,13.294180459156433
35,УИК №380,2388,1976,1976,8,1697,271,Владимир_ленинская,380,82.74706867671692,85.88056680161942,13.714574898785425
36,УИК №381,2061,717,717,5,471,241,Владимир_ленинская,381,34.78893740902475,65.69037656903765,33.61227336122734
37,УИК №382,2510,2040,2040,17,1616,407,Владимир_ленинская,382,81.27490039840637,79.2156862745098,19.950980392156865
38,УИК №383,370,299,299,3,176,120,Владимир_ленинская,383,80.8108108108108,58.862876254180605,40.13377926421405
39,УИК №384,2567,1153,1152,5,696,451,Владимир_ленинская,384,44.87728866380989,60.416666666666664,39.14930555555556
40,УИК №385,2277,780,780,4,489,287,Владимир_ленинская,385,34.25559947299078,62.69230769230769,36.794871794871796
41,УИК №386,2303,2103,2102,12,1844,246,Владимир_ленинская,386,91.27225358228398,87.72597526165556,11.70313986679353
42,УИК №387,477,288,288,3,188,97,Владимир_ленинская,387,60.37735849056604,65.27777777777779,33.68055555555556
43,УИК №388,1704,1496,1496,73,1032,391,Владимир_ленинская,388,87.79342723004694,68.98395721925134,26.136363636363637
44,УИК №389,1766,1428,1428,7,1163,258,Владимир_ленинская,389,80.86070215175538,81.44257703081233,18.067226890756302
45,УИК №390,1004,872,872,22,645,205,Владимир_ленинская,390,86.85258964143426,73.96788990825688,23.509174311926607
46,УИК №391,1787,610,610,4,384,222,Владимир_ленинская,391,34.13542249580302,62.95081967213115,36.39344262295082
47,УИК №392,1360,1274,1274,24,1059,191,Владимир_ленинская,392,93.67647058823529,83.12401883830455,14.992150706436421
48,УИК №393,1200,453,453,0,306,147,Владимир_ленинская,393,37.75,67.54966887417218,32.450331125827816
49,УИК №394,2625,902,899,6,508,385,Владимир_ленинская,394,34.24761904761905,56.50723025583982,42.82536151279199
50,УИК №395,2115,702,701,3,460,238,Владимир_ленинская,395,33.14420803782506,65.62054208273894,33.951497860199716
51,УИК №396,1859,1692,1692,3,1437,252,Владимир_ленинская,396,91.01667563206026,84.9290780141844,14.893617021276595
52,УИК №397,1252,1139,1139,5,889,245,Владимир_ленинская,397,90.97444089456869,78.05092186128184,21.51009657594381
53,УИК №398,2548,866,866,3,468,395,Владимир_ленинская,398,33.98744113029827,54.04157043879908,45.61200923787529
54,УИК №399,647,263,263,1,154,108,Владимир_ленинская,399,40.64914992272025,58.55513307984791,41.06463878326996
55,УИК №402,2368,1792,1789,6,1472,311,Владимир_октябрьская,402,75.54898648648648,82.28060368921184,17.38401341531582
56,УИК №403,2429,816,815,8,565,242,Владимир_октябрьская,403,33.552902428983124,69.32515337423312,29.69325153374233
57,УИК №404,1850,1495,1495,7,1262,226,Владимир_октябрьская,404,80.8108108108108,84.41471571906355,15.117056856187292
58,УИК №405,2200,750,750,6,479,265,Владимир_октябрьская,405,34.090909090909086,63.866666666666674,35.333333333333336
59,УИК №406,2441,1966,1966,0,1644,322,Владимир_октябрьская,406,80.54076198279394,83.62156663275687,16.378433367243133
60,УИК №407,2501,865,865,7,520,338,Владимир_октябрьская,407,34.586165533786485,60.115606936416185,39.075144508670526
61,УИК №408,2457,925,925,8,594,323,Владимир_октябрьская,408,37.647537647537646,64.21621621621621,34.91891891891892
62,УИК №409,2202,1819,1819,7,1362,450,Владимир_октябрьская,409,82.60672116257948,74.8763056624519,24.738867509620672
63,УИК №410,2033,720,719,6,458,255,Владимир_октябрьская,410,35.36645351697,63.69958275382476,35.46592489568845
64,УИК №411,1818,640,640,5,384,251,Владимир_октябрьская,411,35.203520352035206,60.0,39.21875
65,УИК №412,1242,396,396,3,266,127,Владимир_октябрьская,412,31.88405797101449,67.17171717171718,32.07070707070707
66,УИК №413,2145,1380,1380,26,924,430,Владимир_октябрьская,413,64.33566433566433,66.95652173913044,31.15942028985507
67,УИК №414,2203,689,689,4,430,255,Владимир_октябрьская,414,31.2755333635951,62.40928882438317,37.010159651669085
68,УИК №415,2269,1796,1784,4,1443,337,Владимир_октябрьская,415,78.62494490965183,80.88565022421524,18.890134529147982
69,УИК №416,2074,966,966,14,740,212,Владимир_октябрьская,416,46.57666345226615,76.60455486542443,21.94616977225673
70,УИК №417,2041,1588,1588,60,1062,466,Владимир_октябрьская,417,77.80499755022048,66.87657430730478,29.345088161209066
71,УИК №418,2449,1958,1958,7,1584,367,Владимир_октябрьская,418,79.95100040832993,80.89887640449437,18.74361593462717
72,УИК №419,2194,1914,1914,16,1542,356,Владимир_октябрьская,419,87.23792160437557,80.56426332288402,18.599791013584117
73,УИК №420,1140,449,449,1,233,215,Владимир_октябрьская,420,39.3859649122807,51.89309576837417,47.88418708240535
74,УИК №421,2117,1752,1752,3,1519,230,Владимир_октябрьская,421,82.75862068965517,86.70091324200914,13.12785388127854
75,УИК №422,2401,1997,1996,9,1717,270,Владимир_октябрьская,422,83.13202832153269,86.02204408817636,13.527054108216433
76,УИК №423,2404,1451,1451,13,1075,363,Владимир_октябрьская,423,60.35773710482529,74.0868366643694,25.01722949689869
77,УИК №424,2200,1881,1874,7,1554,313,Владимир_октябрьская,424,85.18181818181819,82.92422625400214,16.70224119530416
78,УИК №425,2241,865,865,7,548,310,Владимир_октябрьская,425,38.59883980365908,63.35260115606937,35.83815028901734
