,index,Число участников,Выданные бюллетени,Бюллетени в урнах,Недействительные бюллетени,Голосов за,Голосов против,ТИК,УИК,Явка%,за%,против%,Адрес,Полный адрес,Name,Location
0,УИК №1,2160,841,841,12,566,263,Александров,1,38.93518518518517,67.30083234244947,31.272294887039237,"601657, Владимирская область, Александровский район, город Александров, улица Геологов, дом 1","601657, Владимирская область, Александровский район, город Александров, улица Геологов, дом 1, здание ГГЭ-30",", здание ГГЭ-30","('38.688679', '56.404742')"
1,УИК №2,812,278,278,0,158,120,Александров,2,34.23645320197045,56.834532374100725,43.165467625899275,"601657, Владимирская область, Александровский район, город Александров, улица Двориковское шоссе, дом  1","601657, Владимирская область, Александровский район, город Александров, улица Двориковское шоссе, дом  1, здание средней общеобразовательной школы №5",", здание средней общеобразовательной школы №5","('38.709942', '56.405843')"
2,УИК №3,811,211,211,2,129,80,Александров,3,26.01726263871763,61.13744075829385,37.91469194312796,"601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом 3","601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом 3, здание средней общеобразовательной школы №1",", здание средней общеобразовательной школы №1","('38.720335', '56.401843')"
3,УИК №4,1034,452,452,2,318,132,Александров,4,43.7137330754352,70.35398230088495,29.203539823008853,"601653, Владимирская область, Александровский район, город Александров, улица Заводская, дом 13","601653, Владимирская область, Александровский район, город Александров, улица Заводская, дом 13, здание бывшего опорного пункта милиции",", здание бывшего опорного пункта милиции","('38.728851', '56.413398')"
4,УИК №5,1948,854,854,2,662,190,Александров,5,43.83983572895277,77.51756440281032,22.248243559718965,"601650, Владимирская область, Александровский район, город Александров, улица Стрелецкая набережная, дом 1","601650, Владимирская область, Александровский район, город Александров, улица Стрелецкая набережная, дом 1, здание МБУК ""Клуб ""Искож""",", здание МБУК ""Клуб ""Искож""","('38.729624', '56.392433')"
5,УИК №6,810,341,341,0,253,88,Александров,6,42.09876543209877,74.19354838709677,25.80645161290323,"601650, Владимирская область, Александровский район, город Александров, улица Советская, дом 3","601650, Владимирская область, Александровский район, город Александров, улица Советская, дом 3, здание ""Общественной  организации ветеранов войны, труда, вооруженных сил и правоохранительных органов Александровского района""",", здание ""Общественной  организации ветеранов войны, труда, вооруженных сил и правоохранительных органов Александровского района""","('38.72851', '56.40006')"
6,УИК №7,2519,764,764,4,466,294,Александров,7,30.32949583167924,60.99476439790576,38.481675392670155,"601655, Владимирская область, Александровский район, город Александров, улица  Базунова, -","601655, Владимирская область, Александровский район, город Александров, улица  Базунова, -, здание стадиона ""Рекорд""",", здание стадиона ""Рекорд""","('38.719554', '56.387475')"
7,УИК №8,691,423,423,3,284,136,Александров,8,61.21562952243126,67.13947990543736,32.15130023640662,"601652, Владимирская область, Александровский район, город Александров, улица Советская,, дом 25 А","601652, Владимирская область, Александровский район, город Александров, улица Советская,, дом 25 А, здание МБОУ СОШ № 3",", здание МБОУ СОШ № 3","('38.745389', '56.401201')"
8,УИК №9,2990,994,994,7,570,417,Александров,9,33.244147157190625,57.3440643863179,41.951710261569424,"601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 6","601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 6, здание киноконцертного зала ""Южный""",", здание киноконцертного зала ""Южный""","('38.719392', '56.375204')"
9,УИК №10,2558,832,832,6,566,260,Александров,10,32.52541047693511,68.02884615384616,31.25,"601655, Владимирская область, Александровский район, город Александров, улица Кубасова, дом10","601655, Владимирская область, Александровский район, город Александров, улица Кубасова, дом10, здание МБОУ СОШ № 13",", здание МБОУ СОШ № 13","('38.719203', '56.377223')"
10,УИК №11,2418,792,792,3,551,238,Александров,11,32.754342431761785,69.57070707070707,30.050505050505052,"601655, Владимирская область, Александровский район, город Александров, улица Королева,, дом 2","601655, Владимирская область, Александровский район, город Александров, улица Королева,, дом 2, здание  МБУ ""ФОК ""Олимп",", здание  МБУ ""ФОК ""Олимп","('38.709735', '56.37515')"
11,УИК №12,2271,663,663,11,453,199,Александров,12,29.19418758256275,68.32579185520362,30.01508295625943,"601655, Владимирская область, Александровский район, город Александров, улица Терешковой, дом 5","601655, Владимирская область, Александровский район, город Александров, улица Терешковой, дом 5, здание ОГОУ СПО ""Александровский промышленно-гуманитарный колледж",", здание ОГОУ СПО ""Александровский промышленно-гуманитарный колледж","('38.715107', '56.381704')"
12,УИК №13,585,224,224,3,128,93,Александров,13,38.2905982905983,57.14285714285714,41.517857142857146,"601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 2","601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 2, здание МБУ ""ФОК ""Олимп""",", здание МБУ ""ФОК ""Олимп""","('38.709735', '56.37515')"
13,УИК №14,2238,716,716,9,476,231,Александров,14,31.99285075960679,66.4804469273743,32.262569832402235,"601655, Владимирская область, Александровский район, город Александров, улица Ческа-Липа, дом  5","601655, Владимирская область, Александровский район, город Александров, улица Ческа-Липа, дом  5, здание гимназии №2",", здание гимназии №2","('38.710274', '56.384166')"
14,УИК №15,2514,796,796,14,516,266,Александров,15,31.66268894192522,64.82412060301507,33.417085427135675,"601655, Владимирская область, Александровский район, город Александров, улица  Ческа-Липа, дом  5","601655, Владимирская область, Александровский район, город Александров, улица  Ческа-Липа, дом  5, здание гимназии №2",", здание гимназии №2","('38.710274', '56.384166')"
15,УИК №16,2312,774,774,7,461,306,Александров,16,33.477508650519034,59.560723514211894,39.53488372093023,"601650, Владимирская область, Александровский район, город Александров, улица  Красный переулок, дом 8","601650, Владимирская область, Александровский район, город Александров, улица  Красный переулок, дом 8, здание МУП ""Александровэлектросеть""",", здание МУП ""Александровэлектросеть""","('38.715933', '56.393065')"
16,УИК №17,1375,449,449,3,269,177,Александров,17,32.654545454545456,59.91091314031181,39.42093541202672,"601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24","601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24, здание Центра детского творчества",", здание Центра детского творчества","('38.718278', '56.397235')"
17,УИК №18,1374,566,566,5,413,148,Александров,18,41.19359534206696,72.96819787985865,26.14840989399293,"601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24","601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24, МБУДО ""АРЦДО ""Дар""",", МБУДО ""АРЦДО ""Дар""","('38.718278', '56.397235')"
18,УИК №19,2101,793,793,7,502,284,Александров,19,37.74393146120895,63.303909205548536,35.813366960907935,"601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом  3","601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом  3, здание средней общеобразовательной школы №1",", здание средней общеобразовательной школы №1","('38.720335', '56.401843')"
19,УИК №20,2236,717,717,8,471,238,Александров,20,32.06618962432916,65.69037656903765,33.19386331938633,"601650, Владимирская область, Александровский район, город Александров, улица Первомайская, дом 89","601650, Владимирская область, Александровский район, город Александров, улица Первомайская, дом 89, здание детской школы искусств",", здание детской школы искусств","('38.723955', '56.399532')"
20,УИК №21,1978,672,672,8,432,232,Александров,21,33.973710819009106,64.28571428571429,34.52380952380953,"601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3а","601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3а, здание средней общеобразовательной школы №14",", здание средней общеобразовательной школы №14","('38.704543', '56.394286')"
